ID,Date,University,Stay,Opponent,Media,Decision
1,9/5/2015,Texas,Home,Out,1-NBC,Win
2,9/12/2015,Virginia,Away,Out,4-ABC,Win
3,9/19/2015,GeorgiaTech,Home,In,1-NBC,Win
4,9/26/2015,UMass,Home,Out,1-NBC,Win
5,10/3/2015,Clemson,Away,In,4-ABC,Lose
6,10/10/2015,Navy,Home,Out,1-NBC,Win
7,10/17/2015,USC,Home,In,1-NBC,Win
8,10/31/2015,Temple,Away,Out,4-ABC,Win
9,11/7/2015,PITT,Away,Out,4-ABC,Win
10,11/14/2015,WakeForest,Home,Out,1-NBC,Win
11,11/21/2015,BostonCollege,Away,Out,1-NBC,Win
12,11/28/2015,Stanford,Away,In,3-FOX,Lose
13,9/4/2016,Texas,Away,Out,4-ABC,Lose
14,9/10/2016,Nevada,Home,Out,1-NBC,Win
15,9/17/2016,MichiganState,Home,Out,1-NBC,Lose
16,9/24/2016,Duke,Home,Out,1-NBC,Lose
17,10/1/2016,Syracuse,Home,Out,2-ESPN,Win
18,10/8/2016,NorthCarolinaState,Away,Out,4-ABC,Lose
19,10/15/2016,Stanford,Home,In,1-NBC,Lose
20,10/29/2016,MiamiFlorida,Home,Out,1-NBC,Win
21,11/5/2016,Navy,Home,Out,5-CBS,Lose
22,11/12/2016,Army,Home,Out,1-NBC,Win
23,11/19/2016,VirginiaTech,Home,In,1-NBC,Lose
24,11/26/2016,USC,Away,In,4-ABC,Lose
25,9/2/2017,Temple,Home,Out,1-NBC,Win
26,9/9/2017,Georgia,Home,In,1-NBC,Lose
27,9/16/2017,BostonCollege,Away,Out,2-ESPN,Win
28,9/23/2017,MichiganState,Away,Out,3-FOX,Win
29,9/30/2017,MiamiOhio,Home,Out,1-NBC,Win
30,10/7/2017,NorthCarolina,Away,Out,4-ABC,Win
31,10/21/2017,USC,Home,In,1-NBC,Win
32,10/28/2017,NorthCarolinaState,Home,Out,1-NBC,Win
33,11/4/2017,WakeForest,Home,Out,1-NBC,Win
34,11/11/2017,MiamiFlorida,Away,In,4-ABC,Lose
35,11/18/2017,Navy,Home,Out,1-NBC,Win
36,11/25/2017,Stanford,Away,In,4-ABC,Lose
