Records,Date,University ,Stay,Opponent,Media,Decision
1,9/2/2017,Temple,Home,Out,1-NBC,Win
2,9/9/2017,Georgia,Home,In,1-NBC,Lose
3,9/16/2017,Boston College,Away,Out,2-ESPN,Win
4,9/23/2017,Michigan State,Away,Out,3-FOX,Win
5,9/30/2017,Miami Ohio,Home,Out,1-NBC,Win
6,10/7/2017,North Carolina,Away,Out,4-ABC,Win
7,10/19/2017,USC,Home,In,1-NBC,Lose
8,10/25/2017,North Carolina State,Home,Out,1-NBC,Win
9,11/4/2017,Wake Forest,Home,Out,1-NBC,Win
10,11/12/2017,Miami Florida,Away,In,4-ABC,Lose
11,11/18/2017,Navy,Home,Out,1-NBC,Win
12,11/26/2017,Stanford,Away,In,4-ABC,Lose
